[0.76,0.739047619047619,0.76,0.702380952380952,0.05103197499966,0.004981799999769, 'heart_failure_clinical_records_datase.csv', 'GaussianNB', 'MI']
[0.72,0.698578569876114,0.72,0.657683112366877,0.008300092999889,0.002162629000395, 'heart_failure_clinical_records_datase.csv', 'GaussianNB', 'GR']
[0.6666666666666666,0.603726708074534,0.666666666666667,0.53416149068323,5.46430332700038,0.004366731000118, 'heart_failure_clinical_records_datase.csv', 'GaussianNB', 'mrmr']
[0.6666666666666666,0.615163836402775,0.666666666666667,0.551542693135613,0.02168036699959,0.00263350799969, 'heart_failure_clinical_records_datase.csv', 'GaussianNB', 'fcbf']
[0.72,0.692307003803983,0.72,0.647572163795032,0.030931832000079,0.002688853000109, 'heart_failure_clinical_records_datase.csv', 'GaussianNB', 'relief']
[0.72,0.692307003803983,0.72,0.647572163795032,0.461074231000112,0.002641292000135, 'heart_failure_clinical_records_datase.csv', 'GaussianNB', 'relieff']
[0.76,0.752058823529412,0.76,0.724264705882353,0.037557943000138,38.6985153240003, 'heart_failure_clinical_records_datase.csv', 'SVC', 'MI']
[0.7066666666666667,0.696960784313725,0.706666666666667,0.662990196078431,0.009321222999915,18.1509766869999, 'heart_failure_clinical_records_datase.csv', 'SVC', 'GR']
[0.6266666666666667,0.533135593220339,0.626666666666667,0.44385593220339,6.10086830499995,24.1408081259997, 'heart_failure_clinical_records_datase.csv', 'SVC', 'mrmr']
[0.68,0.669411764705882,0.68,0.632352941176471,0.018645922999895,134.615727312, 'heart_failure_clinical_records_datase.csv', 'SVC', 'fcbf']
[0.7333333333333333,0.720401337792642,0.733333333333333,0.686454849498328,0.026882201999797,40.9008765009999, 'heart_failure_clinical_records_datase.csv', 'SVC', 'relief']
[0.7333333333333333,0.720401337792642,0.733333333333333,0.686454849498328,0.378852675999951,27.0563970809999, 'heart_failure_clinical_records_datase.csv', 'SVC', 'relieff']
[0.8266666666666667,0.824194890077243,0.826666666666667,0.806892453951278,0.030984643000011,0.049037765999856, 'heart_failure_clinical_records_datase.csv', 'C45', 'MI']
[0.7466666666666667,0.743054070112894,0.746666666666667,0.717765894236482,0.0065522470004,0.060627737999766, 'heart_failure_clinical_records_datase.csv', 'C45', 'GR']
[0.72,0.721071770334928,0.72,0.698564593301435,4.35030222499972,0.125839217000248, 'heart_failure_clinical_records_datase.csv', 'C45', 'mrmr']
[0.64,0.619428571428572,0.64,0.571428571428571,0.016493674999765,0.088950102000126, 'heart_failure_clinical_records_datase.csv', 'C45', 'fcbf']
[0.7733333333333333,0.764156166081388,0.773333333333333,0.736624664325553,0.027991064999696,0.098409204999825, 'heart_failure_clinical_records_datase.csv', 'C45', 'relief']
[0.7733333333333333,0.767379268539099,0.773333333333333,0.742372196403314,0.378044154000236,0.077439260000119, 'heart_failure_clinical_records_datase.csv', 'C45', 'relieff']
[0.8133333333333334,0.797037037037037,0.813333333333333,0.768518518518519,0.03127683799994,0.003953346000344, 'heart_failure_clinical_records_datase.csv', 'KNeighborsClassifier', 'MI']
[0.5733333333333334,0.466440677966102,0.573333333333333,0.364406779661017,0.006655101999968,0.003883707000114, 'heart_failure_clinical_records_datase.csv', 'KNeighborsClassifier', 'GR']
[0.5866666666666667,0.492245532245532,0.586666666666667,0.397824397824398,4.31066504599994,0.005911071000355, 'heart_failure_clinical_records_datase.csv', 'KNeighborsClassifier', 'mrmr']
[0.6,0.51683569979716,0.6,0.429513184584178,0.018098335000104,0.004643622999993, 'heart_failure_clinical_records_datase.csv', 'KNeighborsClassifier', 'fcbf']
[0.5733333333333334,0.466440677966102,0.573333333333333,0.364406779661017,0.028288398000314,0.004427223000221, 'heart_failure_clinical_records_datase.csv', 'KNeighborsClassifier', 'relief']
[0.5733333333333334,0.466440677966102,0.573333333333333,0.364406779661017,0.42727643399985,0.00478997800019, 'heart_failure_clinical_records_datase.csv', 'KNeighborsClassifier', 'relieff']
[0.9777777777777777,0.978077672814515,0.977777777777778,0.973909131803869,0.039881401999992,0.002127483999629, 'wine.data', 'GaussianNB', 'MI']
[0.9777777777777777,0.978077672814515,0.977777777777778,0.973909131803869,0.011541328000021,0.002630434999901, 'wine.data', 'GaussianNB', 'GR']
[0.9111111111111111,0.911049644518204,0.911111111111111,0.915606367939025,3.59414696199974,0.002483985000254, 'wine.data', 'GaussianNB', 'mrmr']
[0.9333333333333333,0.933523838475959,0.933333333333333,0.934914120687035,0.023779560000094,0.002091729999847, 'wine.data', 'GaussianNB', 'fcbf']
[0.9555555555555556,0.955781927938125,0.955555555555556,0.955036785512167,0.02000714199994,0.002070227999866, 'wine.data', 'GaussianNB', 'relief']
[0.9333333333333333,0.93306342780027,0.933333333333333,0.935981781376518,0.231126194999888,0.00265269700003, 'wine.data', 'GaussianNB', 'relieff']
[0.9777777777777777,0.978077672814515,0.977777777777778,0.973909131803869,0.042099931999928,0.109767366000142, 'wine.data', 'SVC', 'MI']
[0.9555555555555556,0.955555555555556,0.955555555555556,0.946296296296296,0.012449199000002,0.163924779999888, 'wine.data', 'SVC', 'GR']
[0.9555555555555556,0.955781927938125,0.955555555555556,0.955036785512167,3.61385226499988,0.005120629999965, 'wine.data', 'SVC', 'mrmr']
[0.9333333333333333,0.93436729077596,0.933333333333333,0.934276868642194,0.022149187000196,0.005476649999764, 'wine.data', 'SVC', 'fcbf']
[0.9111111111111111,0.911111111111111,0.911111111111111,0.908796296296296,0.018849436999972,0.054940357000305, 'wine.data', 'SVC', 'relief']
