,0,1,2,accuracy,macro avg,weighted avg
precision,1.0,1.0,0.8888888888888888,0.9777777777777777,0.9629629629629629,0.980246913580247
recall,1.0,0.9523809523809523,1.0,0.9777777777777777,0.9841269841269842,0.9777777777777777
f1-score,1.0,0.975609756097561,0.9411764705882353,0.9777777777777777,0.9722620755619321,0.9781603698389925
support,16.0,21.0,8.0,0.9777777777777777,45.0,45.0
,0,1,2,accuracy,macro avg,weighted avg
precision,1.0,1.0,0.8888888888888888,0.9777777777777777,0.9629629629629629,0.980246913580247
recall,1.0,0.9523809523809523,1.0,0.9777777777777777,0.9841269841269842,0.9777777777777777
f1-score,1.0,0.975609756097561,0.9411764705882353,0.9777777777777777,0.9722620755619321,0.9781603698389925
support,16.0,21.0,8.0,0.9777777777777777,45.0,45.0
