,Unnamed: 0,0,1,2,accuracy,macro avg,weighted avg,class,percF,FS
0,precision,1.0,1.0,0.8888888888888888,0.9777777777777776,0.9629629629629628,0.9802469135802471,,,
1,recall,1.0,0.9523809523809524,1.0,0.9777777777777776,0.9841269841269842,0.9777777777777776,,,
2,f1-score,1.0,0.975609756097561,0.9411764705882352,0.9777777777777776,0.972262075561932,0.9781603698389923,,,
0,precision,1.0,1.0,0.8888888888888888,0.9777777777777776,0.9629629629629628,0.9802469135802471,KNN,12.0,qwe
1,recall,1.0,0.9523809523809524,1.0,0.9777777777777776,0.9841269841269842,0.9777777777777776,KNN,12.0,qwe
2,f1-score,1.0,0.975609756097561,0.9411764705882352,0.9777777777777776,0.972262075561932,0.9781603698389923,KNN,12.0,qwe
3,support,16.0,21.0,8.0,0.9777777777777776,45.0,45.0,KNN,12.0,qwe
